店名,住所,latitude,longitude,訪問順序
スタート/ゴール地点,群馬県藤岡市中187番地1,36.274841,139.06868,1
こだま千本桜,埼玉県本庄市児玉町児玉674,36.1878776550293,139.14208984375,2
自宅,群馬県高崎市吉井町神保202,36.24570846557617,138.9792022705078,3
